Activity Period,Operating Airline,Operating Airline IATA Code,GEO Region,Terminal,Boarding Area,Passenger Count,Year,Month
200507,ATA Airlines,TZ,US,Terminal 1,B,27271,2005,July
200507,ATA Airlines,TZ,US,Terminal 1,B,29131,2005,July
200507,ATA Airlines,TZ,US,Terminal 1,B,5415,2005,July
200507,Air Canada ,AC,Canada,Terminal 1,B,35156,2005,July
200507,Air Canada ,AC,Canada,Terminal 1,B,34090,2005,July
200507,Air China,CA,Asia,International,G,6263,2005,July
200507,Air China,CA,Asia,International,G,5500,2005,July
200507,Air France,AF,Europe,International,A,12050,2005,July
200507,Air France,AF,Europe,International,A,11638,2005,July
200507,Air New Zealand,NZ,Australia / Oceania,International,G,4998,2005,July
200507,Air New Zealand,NZ,Australia / Oceania,International,G,4962,2005,July
200507,AirTran Airways,FL,US,International,A,8055,2005,July
200507,AirTran Airways,FL,US,International,A,7984,2005,July
200507,Alaska Airlines,AS,US,International,A,36641,2005,July
200507,Alaska Airlines,AS,US,International,A,39379,2005,July
200507,Alaska Airlines,AS,US,International,A,3678,2005,July
200507,Alaska Airlines,AS,Canada,International,A,7977,2005,July
200507,Alaska Airlines,AS,Canada,International,A,8837,2005,July
200507,Alaska Airlines,AS,Mexico,International,A,6969,2005,July
200507,Alaska Airlines,AS,Mexico,International,A,10046,2005,July
200507,Alaska Airlines,AS,Mexico,International,A,2266,2005,July
200507,All Nippon Airways,NH,Asia,International,G,6545,2005,July
200507,All Nippon Airways,NH,Asia,International,G,6094,2005,July
200507,American Airlines,AA,US,Terminal 3,E,166577,2005,July
200507,American Airlines,AA,US,Terminal 3,E,160890,2005,July
200507,American Eagle Airlines,MQ,US,Terminal 3,E,5493,2005,July
200507,American Eagle Airlines,MQ,US,Terminal 3,E,5213,2005,July
200507,Asiana Airlines,OZ,Asia,International,A,5041,2005,July
200507,Asiana Airlines,OZ,Asia,International,A,4744,2005,July
200507,Atlantic Southeast Airlines,EV,US,Terminal 1,C,1552,2005,July
200507,Atlantic Southeast Airlines,EV,US,Terminal 1,C,1484,2005,July
200507,BelAir Airlines,4T,Europe,International,A,325,2005,July
200507,BelAir Airlines,4T,Europe,International,A,545,2005,July
200507,British Airways,BA,Europe,International,A,20632,2005,July
200507,British Airways,BA,Europe,International,A,21686,2005,July
200507,Cathay Pacific,CX,Asia,International,A,11010,2005,July
200507,Cathay Pacific,CX,Asia,International,A,9628,2005,July
200507,China Airlines,CI,Asia,International,A,13638,2005,July
200507,China Airlines,CI,Asia,International,A,11255,2005,July
200507,Delta Air Lines,DL,US,Terminal 1,C,97510,2005,July
200507,Delta Air Lines,DL,US,Terminal 1,C,93791,2005,July
200507,EVA Airways,BR,Asia,International,G,14142,2005,July
200507,EVA Airways,BR,Asia,International,G,12132,2005,July
200507,Frontier Airlines,F9,US,Terminal 1,B,19234,2005,July
200507,Frontier Airlines,F9,US,Terminal 1,B,18368,2005,July
200507,Hawaiian Airlines,HA,US,Terminal 1,C,7579,2005,July
200507,Hawaiian Airlines,HA,US,Terminal 1,C,7658,2005,July
200507,Horizon Air ,QX,US,Terminal 1,B,5284,2005,July
200507,Horizon Air ,QX,US,Terminal 1,B,5257,2005,July
200507,Icelandair,FI,Europe,International,A,4540,2005,July
200507,Icelandair,FI,Europe,International,A,4341,2005,July
200507,Independence Air,DH,US,International,A,10843,2005,July
200507,Independence Air,DH,US,International,A,10967,2005,July
200507,Japan Airlines,JL,Asia,International,A,9195,2005,July
